1;11;Katowice
2;2;Warszawa
3;12;Szumowo
4;10;Ruda Sl¹ska
5;15;Kuznica Zelichowska
6;8;Katowice
7;11;Naprusewo
8;11;Jasionka
9;14;Ornontowice
10;4;Kuczynka
11;11;Wisniewo
12;12;Gdassk
13;11;Ciosowa
14;7;Pokrzywianka
15;7;Lewald Wielki
16;11;Klin
17;10;Stare Groszki
18;10;Warszawa
19;16;Wegrzce
20;14;Pietrzwald
21;14;Rozalin
22;5;Cykarzew Polnocny
23;14;Katowice
24;10;Kielce
25;5;Chorzow
26;9;Eustachow
27;10;Kopki
28;7;Cisow
29;13;Brzezinki
30;1;Bia³ystok
31;3;Brzeg
32;6;Konstancin-Jeziorna
33;15;Legnica
34;9;Dworzyska
35;16;Krakow
36;9;Warszawa
37;16;Nowy Zuk
38;9;Slu¿ow
39;4;Józefow
40;9;Katowice
41;14;Warnowo
42;6;Szczecin
43;12;Tuczna
44;6;Kopki
45;11;Bydgoszcz
46;2;Koprzywnica
47;6;Lesiaki
48;8;Feliksow
49;12;Parwolki
50;9;Anastazewo
